,batch_id,city,description,item_id,item_title,num_rooms,site_name,url,recommend_1,recommend_2,recommend_3
545,20170209092419,dublin,"Metro Hotel Dublin Airport, Dublin: See 719 traveller reviews, 113 candid photos, and great deals for Metro Hotel Dublin Airport, ranked #79 of 151 hotels in Dublin and rated 3.5 of 5 at TripAdvisor.",Hotel_Review-g186605-d615021-Reviews-Metro_Hotel_Dublin_Airport-Dublin_County_Dublin,"
Metro Hotel Dublin Airport
",88,TripAdvisor,https://www.tripadvisor.ie/Hotel_Review-g186605-d615021-Reviews-Metro_Hotel_Dublin_Airport-Dublin_County_Dublin.html,Hotel_Review-g186605-d634898-Reviews-Travelodge_Dublin_Airport_South_Hotel-Dublin_County_Dublin,Hotel_Review-g186605-d634898-Reviews-Travelodge_Dublin_Airport_South_Hotel-Dublin_County_Dublin,Hotel_Review-g186605-d634898-Reviews-Travelodge_Dublin_Airport_South_Hotel-Dublin_County_Dublin
546,20170209092419,dublin,"The Westin Dublin, Dublin: See 2,214 traveller reviews, 743 candid photos, and great deals for The Westin Dublin, ranked #11 of 151 hotels in Dublin and rated 4.5 of 5 at TripAdvisor.",Hotel_Review-g186605-d212680-Reviews-The_Westin_Dublin-Dublin_County_Dublin,"
The Westin Dublin
",172,TripAdvisor,https://www.tripadvisor.ie/Hotel_Review-g186605-d212680-Reviews-The_Westin_Dublin-Dublin_County_Dublin.html,Hotel_Review-g186605-d209084-Reviews-The_Westbury-Dublin_County_Dublin,Hotel_Review-g186605-d209084-Reviews-The_Westbury-Dublin_County_Dublin,Hotel_Review-g186605-d209084-Reviews-The_Westbury-Dublin_County_Dublin
547,20170209092419,dublin,"Dublin Central Inn, Dublin: See 789 traveller reviews, 192 candid photos, and great deals for Dublin Central Inn, ranked #77 of 151 hotels in Dublin and rated 3.5 of 5 at TripAdvisor.",Hotel_Review-g186605-d206334-Reviews-Dublin_Central_Inn-Dublin_County_Dublin,"
Dublin Central Inn
",60,TripAdvisor,https://www.tripadvisor.ie/Hotel_Review-g186605-d206334-Reviews-Dublin_Central_Inn-Dublin_County_Dublin.html,Hotel_Review-g186605-d213275-Reviews-Celtic_Lodge_Guesthouse-Dublin_County_Dublin,Hotel_Review-g186605-d213275-Reviews-Celtic_Lodge_Guesthouse-Dublin_County_Dublin,Hotel_Review-g186605-d213275-Reviews-Celtic_Lodge_Guesthouse-Dublin_County_Dublin
548,20170209092419,dublin,"Clayton Hotel Ballsbridge, Dublin: See 1,911 traveller reviews, 406 candid photos, and great deals for Clayton Hotel Ballsbridge, ranked #76 of 151 hotels in Dublin and rated 3.5 of 5 at TripAdvisor.",Hotel_Review-g186605-d214419-Reviews-Clayton_Hotel_Ballsbridge-Dublin_County_Dublin,"
Clayton Hotel Ballsbridge
",304,TripAdvisor,https://www.tripadvisor.ie/Hotel_Review-g186605-d214419-Reviews-Clayton_Hotel_Ballsbridge-Dublin_County_Dublin.html,Hotel_Review-g186605-d2587316-Reviews-Ballsbridge_Hotel-Dublin_County_Dublin,Hotel_Review-g186605-d2587316-Reviews-Ballsbridge_Hotel-Dublin_County_Dublin,Hotel_Review-g186605-d2587316-Reviews-Ballsbridge_Hotel-Dublin_County_Dublin
549,20170209092419,dublin,"West County Hotel, Dublin: See 249 traveller reviews, 64 candid photos, and great deals for West County Hotel, ranked #80 of 151 hotels in Dublin and rated 4 of 5 at TripAdvisor.",Hotel_Review-g186605-d482151-Reviews-West_County_Hotel-Dublin_County_Dublin,"
West County Hotel
",49,TripAdvisor,https://www.tripadvisor.ie/Hotel_Review-g186605-d482151-Reviews-West_County_Hotel-Dublin_County_Dublin.html,Hotel_Review-g186605-d277118-Reviews-Sheldon_Park_Hotel-Dublin_County_Dublin,Hotel_Review-g186605-d277118-Reviews-Sheldon_Park_Hotel-Dublin_County_Dublin,Hotel_Review-g186605-d277118-Reviews-Sheldon_Park_Hotel-Dublin_County_Dublin
550,20170209092419,dublin,"Lansdowne Hotel Ballsbridge, Dublin: See 338 traveller reviews, 70 candid photos, and great deals for Lansdowne Hotel Ballsbridge, ranked #81 of 151 hotels in Dublin and rated 4 of 5 at TripAdvisor.",Hotel_Review-g186605-d214543-Reviews-Lansdowne_Hotel_Ballsbridge-Dublin_County_Dublin,"
Lansdowne Hotel Ballsbridge
",37,TripAdvisor,https://www.tripadvisor.ie/Hotel_Review-g186605-d214543-Reviews-Lansdowne_Hotel_Ballsbridge-Dublin_County_Dublin.html,Hotel_Review-g186605-d243111-Reviews-Pembroke_Townhouse-Dublin_County_Dublin,Hotel_Review-g186605-d243111-Reviews-Pembroke_Townhouse-Dublin_County_Dublin,Hotel_Review-g186605-d243111-Reviews-Pembroke_Townhouse-Dublin_County_Dublin
551,20170209092419,dublin,"Hotel St. George, Dublin: See 469 traveller reviews, 160 candid photos, and great deals for Hotel St. George, ranked #78 of 151 hotels in Dublin and rated 4 of 5 at TripAdvisor.",Hotel_Review-g186605-d213290-Reviews-Hotel_St_George-Dublin_County_Dublin,"
Hotel St. George
",53,TripAdvisor,https://www.tripadvisor.ie/Hotel_Review-g186605-d213290-Reviews-Hotel_St_George-Dublin_County_Dublin.html,Hotel_Review-g186605-d258846-Reviews-The_Belvedere_Hotel-Dublin_County_Dublin,Hotel_Review-g186605-d258846-Reviews-The_Belvedere_Hotel-Dublin_County_Dublin,Hotel_Review-g186605-d258846-Reviews-The_Belvedere_Hotel-Dublin_County_Dublin
552,20170209092419,dublin,"Eliza Lodge, Dublin: See 437 traveller reviews, 277 candid photos, and great deals for Eliza Lodge, ranked #83 of 151 hotels in Dublin and rated 4 of 5 at TripAdvisor.",Hotel_Review-g186605-d213274-Reviews-Eliza_Lodge-Dublin_County_Dublin,"
Eliza Lodge
",18,TripAdvisor,https://www.tripadvisor.ie/Hotel_Review-g186605-d213274-Reviews-Eliza_Lodge-Dublin_County_Dublin.html,Hotel_Review-g186605-d496983-Reviews-Dublin_Citi_Hotel-Dublin_County_Dublin,Hotel_Review-g186605-d496983-Reviews-Dublin_Citi_Hotel-Dublin_County_Dublin,Hotel_Review-g186605-d496983-Reviews-Dublin_Citi_Hotel-Dublin_County_Dublin
553,20170209092419,dublin,"Uppercross House Hotel, Dublin: See 271 traveller reviews, 64 candid photos, and great deals for Uppercross House Hotel, ranked #82 of 151 hotels in Dublin and rated 4 of 5 at TripAdvisor.",Hotel_Review-g186605-d212569-Reviews-Uppercross_House_Hotel-Dublin_County_Dublin,"
Uppercross House Hotel
",49,TripAdvisor,https://www.tripadvisor.ie/Hotel_Review-g186605-d212569-Reviews-Uppercross_House_Hotel-Dublin_County_Dublin.html,Hotel_Review-g186605-d212926-Reviews-Kilronan_House-Dublin_County_Dublin,Hotel_Review-g186605-d212926-Reviews-Kilronan_House-Dublin_County_Dublin,Hotel_Review-g186605-d212926-Reviews-Kilronan_House-Dublin_County_Dublin
554,20170209092419,dublin,"Celtic Lodge Guesthouse, Dublin: See 397 traveller reviews, 120 candid photos, and great deals for Celtic Lodge Guesthouse, ranked #87 of 151 hotels in Dublin and rated 3.5 of 5 at TripAdvisor.",Hotel_Review-g186605-d213275-Reviews-Celtic_Lodge_Guesthouse-Dublin_County_Dublin,"
Celtic Lodge Guesthouse
",29,TripAdvisor,https://www.tripadvisor.ie/Hotel_Review-g186605-d213275-Reviews-Celtic_Lodge_Guesthouse-Dublin_County_Dublin.html,Hotel_Review-g186605-d206334-Reviews-Dublin_Central_Inn-Dublin_County_Dublin,Hotel_Review-g186605-d206334-Reviews-Dublin_Central_Inn-Dublin_County_Dublin,Hotel_Review-g186605-d206334-Reviews-Dublin_Central_Inn-Dublin_County_Dublin
555,20170209092419,dublin,"Maldron Hotel Pearse Street, Dublin: See 588 traveller reviews, 131 candid photos, and great deals for Maldron Hotel Pearse Street, ranked #86 of 151 hotels in Dublin and rated 3.5 of 5 at TripAdvisor.",Hotel_Review-g186605-d213303-Reviews-Maldron_Hotel_Pearse_Street-Dublin_County_Dublin,"
Maldron Hotel Pearse Street
",101,TripAdvisor,https://www.tripadvisor.ie/Hotel_Review-g186605-d213303-Reviews-Maldron_Hotel_Pearse_Street-Dublin_County_Dublin.html,Hotel_Review-g186605-d550920-Reviews-Clayton_Hotel_Cardiff_Lane-Dublin_County_Dublin,Hotel_Review-g186605-d550920-Reviews-Clayton_Hotel_Cardiff_Lane-Dublin_County_Dublin,Hotel_Review-g186605-d550920-Reviews-Clayton_Hotel_Cardiff_Lane-Dublin_County_Dublin
556,20170209092419,dublin,"Harrington Hall, Dublin: See 396 traveller reviews, 105 candid photos, and great deals for Harrington Hall, ranked #85 of 151 hotels in Dublin and rated 4 of 5 at TripAdvisor.",Hotel_Review-g186605-d189290-Reviews-Harrington_Hall-Dublin_County_Dublin,"
Harrington Hall
",30,TripAdvisor,https://www.tripadvisor.ie/Hotel_Review-g186605-d189290-Reviews-Harrington_Hall-Dublin_County_Dublin.html,Hotel_Review-g186605-d189083-Reviews-Albany_House-Dublin_County_Dublin,Hotel_Review-g186605-d189083-Reviews-Albany_House-Dublin_County_Dublin,Hotel_Review-g186605-d189083-Reviews-Albany_House-Dublin_County_Dublin
557,20170209092419,dublin,"Parliament Hotel, Dublin: See 1,242 traveller reviews, 272 candid photos, and great deals for Parliament Hotel, ranked #84 of 151 hotels in Dublin and rated 4 of 5 at TripAdvisor.",Hotel_Review-g186605-d212670-Reviews-Parliament_Hotel-Dublin_County_Dublin,"
Parliament Hotel
",63,TripAdvisor,https://www.tripadvisor.ie/Hotel_Review-g186605-d212670-Reviews-Parliament_Hotel-Dublin_County_Dublin.html,Hotel_Review-g186605-d187623-Reviews-Paramount_Hotel_Temple_Bar-Dublin_County_Dublin,Hotel_Review-g186605-d187623-Reviews-Paramount_Hotel_Temple_Bar-Dublin_County_Dublin,Hotel_Review-g186605-d187623-Reviews-Paramount_Hotel_Temple_Bar-Dublin_County_Dublin
558,20170209092419,dublin,"Travelodge Dublin City Centre, Stephens Green Hotel, Dublin: See 455 traveller reviews, 103 candid photos, and great deals for Travelodge Dublin City Centre, Stephens Green Hotel, ranked #89 of 151 hotels in Dublin and rated 3.5 of 5 at TripAdvisor.",Hotel_Review-g186605-d572065-Reviews-Travelodge_Dublin_City_Centre_Stephens_Green_Hotel-Dublin_County_Dublin,"
Travelodge Dublin City Centre, Stephens Green Hotel
",41,TripAdvisor,https://www.tripadvisor.ie/Hotel_Review-g186605-d572065-Reviews-Travelodge_Dublin_City_Centre_Stephens_Green_Hotel-Dublin_County_Dublin.html,Hotel_Review-g186605-d214612-Reviews-Drury_Court_Hotel-Dublin_County_Dublin,Hotel_Review-g186605-d214612-Reviews-Drury_Court_Hotel-Dublin_County_Dublin,Hotel_Review-g186605-d214612-Reviews-Drury_Court_Hotel-Dublin_County_Dublin
559,20170209092419,dublin,"Ballsbridge Hotel, Dublin: See 1,786 traveller reviews, 313 candid photos, and great deals for Ballsbridge Hotel, ranked #88 of 151 hotels in Dublin and rated 3.5 of 5 at TripAdvisor.",Hotel_Review-g186605-d2587316-Reviews-Ballsbridge_Hotel-Dublin_County_Dublin,"
Ballsbridge Hotel
",400,TripAdvisor,https://www.tripadvisor.ie/Hotel_Review-g186605-d2587316-Reviews-Ballsbridge_Hotel-Dublin_County_Dublin.html,Hotel_Review-g186605-d214419-Reviews-Clayton_Hotel_Ballsbridge-Dublin_County_Dublin,Hotel_Review-g186605-d214419-Reviews-Clayton_Hotel_Ballsbridge-Dublin_County_Dublin,Hotel_Review-g186605-d214419-Reviews-Clayton_Hotel_Ballsbridge-Dublin_County_Dublin
560,20170209092419,dublin,"Harding Hotel, Dublin: See 1,735 traveller reviews, 356 candid photos, and great deals for Harding Hotel, ranked #26 of 151 hotels in Dublin and rated 4.5 of 5 at TripAdvisor.",Hotel_Review-g186605-d195408-Reviews-Harding_Hotel-Dublin_County_Dublin,"
Harding Hotel
",52,TripAdvisor,https://www.tripadvisor.ie/Hotel_Review-g186605-d195408-Reviews-Harding_Hotel-Dublin_County_Dublin.html,Hotel_Review-g186605-d209073-Reviews-Jurys_Inn_Dublin_Christchurch-Dublin_County_Dublin,Hotel_Review-g186605-d209073-Reviews-Jurys_Inn_Dublin_Christchurch-Dublin_County_Dublin,Hotel_Review-g186605-d209073-Reviews-Jurys_Inn_Dublin_Christchurch-Dublin_County_Dublin
561,20170209092419,dublin,"Stauntons on the Green, Dublin: See 633 traveller reviews, 229 candid photos, and great deals for Stauntons on the Green, ranked #90 of 151 hotels in Dublin and rated 3.5 of 5 at TripAdvisor.",Hotel_Review-g186605-d212809-Reviews-Stauntons_on_the_Green-Dublin_County_Dublin,"
Stauntons on the Green
",40,TripAdvisor,https://www.tripadvisor.ie/Hotel_Review-g186605-d212809-Reviews-Stauntons_on_the_Green-Dublin_County_Dublin.html,Hotel_Review-g186605-d214612-Reviews-Drury_Court_Hotel-Dublin_County_Dublin,Hotel_Review-g186605-d214612-Reviews-Drury_Court_Hotel-Dublin_County_Dublin,Hotel_Review-g186605-d214612-Reviews-Drury_Court_Hotel-Dublin_County_Dublin
